TractID,Lat,Long,Total_2018Pop,SeriesComp,x,y,vax_prop
22071002504,30.008108,-90.049881,2862,1263,-10024306.9,3504592.094,0.44129979
22071002600,29.965612,-90.05925,1681,793,-10025349.85,3499130.352,0.47174301
22071002700,29.970749,-90.060776,1358,630,-10025519.72,3499790.454,0.463917526
22071002800,29.979029,-90.067001,1642,573,-10026212.69,3500854.502,0.348964677
22071002900,29.975758,-90.060989,1014,483,-10025543.44,3500434.141,0.476331361
22071003000,29.98101,-90.06147,1018,416,-10025596.98,3501109.09,0.408644401
22071003100,29.984827,-90.065376,1457,577,-10026031.79,3501599.645,0.396019218
22071003301,30.016216,-90.077354,2149,1596,-10027365.18,3505634.429,0.74267101
22071003302,30.005991,-90.078011,3287,1867,-10027438.32,3504319.954,0.567995132
22071003303,30.020338,-90.065811,2495,962,-10026080.22,3506164.372,0.385571142
22071003304,30.012247,-90.0653,2580,970,-10026023.33,3505124.178,0.375968992
22071003307,29.99737,-90.071121,1506,691,-10026671.32,3503211.786,0.458831341
22071003308,29.999258,-90.064209,3450,1785,-10025901.88,3503454.467,0.517391304
22071003400,29.970659,-90.066704,1431,643,-10026179.63,3499778.889,0.449336129
22071003500,29.975082,-90.070786,1290,722,-10026634.03,3500347.269,0.559689922
22071003600,29.978109,-90.073616,1435,779,-10026949.07,3500736.27,0.542857143
22071003701,29.988604,-90.081879,1936,1049,-10027868.9,3502085.078,0.541838843
22071003702,29.983171,-90.07782,3485,1955,-10027417.05,3501386.816,0.56097561
22071003800,29.961128,-90.059982,1246,827,-10025431.34,3498554.188,0.663723917
22071003900,29.964121,-90.06916,1138,678,-10026453.03,3498938.766,0.595782074
22071004000,29.971153,-90.07457,1936,996,-10027055.27,3499842.369,0.51446281
22071004100,29.977999,-90.084221,1516,938,-10028129.61,3500722.133,0.618733509
22071004401,29.968704,-90.077843,1111,749,-10027419.61,3499527.668,0.674167417
22071004402,29.965729,-90.07766,399,.,-10027399.24,3499145.386,.
22071004500,29.973392,-90.086494,2612,1316,-10028382.64,3500130.092,0.503828484
22071004600,29.980967,-90.095024,2896,1714,-10029332.19,3501103.563,0.591850829
22071004800,29.959661,-90.073723,231,.,-10026960.98,3498365.694,.
22071004900,29.962566,-90.082222,1602,836,-10027907.08,3498738.959,0.52184769
22071005000,29.971533,-90.092636,1053,1009,-10029066.36,3499891.201,0.958214625
22071005400,29.978811,-90.101311,1742,1104,-10030032.06,3500826.486,0.633754305
22071005500,29.988907,-90.109566,2849,1651,-10030951,3502124.021,0.57950158
22071005601,30.012655,-90.111275,2441,1512,-10031141.25,3505176.629,0.619418271
22071005602,30.011877,-90.103432,2639,1672,-10030268.17,3505076.612,0.633573323
22071005603,30.000532,-90.112389,1690,941,-10031265.26,3503618.227,0.556804734
22071005604,29.999033,-90.104935,1516,1041,-10030435.48,3503425.545,0.686675462
22071006000,29.956926,-90.08699,2468,823,-10028437.85,3498014.283,0.333468395
22071006300,29.965935,-90.092133,1678,882,-10029010.37,3499171.856,0.525625745
22071006400,29.969988,-90.099625,2233,1440,-10029844.38,3499692.664,0.644872369
22071006500,29.975622,-90.107628,2762,1487,-10030735.27,3500416.664,0.538377987
22071006900,29.951838,-90.091599,1025,355,-10028950.93,3497360.568,0.346341463
22071007000,29.959421,-90.10157,2153,372,-10030060.89,3498334.857,0.172782164
22071007101,29.965645,-90.100746,2861,997,-10029969.16,3499134.593,0.348479553
22071007200,29.961271,-90.110413,2960,890,-10031045.29,3498572.562,0.300675676
22071007501,29.969328,-90.123825,2719,935,-10032538.31,3499607.853,0.343876425
22071007502,29.965298,-90.120392,3591,1138,-10032156.15,3499090.004,0.31690337
22071007604,29.986111,-90.119476,1900,1148,-10032054.18,3501764.667,0.604210526
22071007605,29.971674,-90.113075,1419,589,-10031341.62,3499909.32,0.415081043
22071007606,30.015873,-90.118034,3948,2320,-10031893.66,3505590.333,0.587639311
22071007700,29.935223,-90.065308,2302,1628,-10026024.22,3495226.079,0.707211121
22071007800,29.935143,-90.072624,1176,736,-10026838.64,3495215.802,0.62585034
22071008200,29.932535,-90.076538,1464,942,-10027274.34,3494880.791,0.643442623
22071008300,29.929125,-90.078232,1102,802,-10027462.92,3494442.772,0.727767695
22071008400,29.93586,-90.081329,1057,669,-10027807.67,3495307.906,0.632923368
22071008500,29.939381,-90.084572,1014,457,-10028168.68,3495760.214,0.450690335
22071008600,29.944818,-90.089668,1087,356,-10028735.97,3496458.682,0.3275069
22071008800,29.924665,-90.079933,1782,1009,-10027652.27,3493869.903,0.566217733
22071009000,29.928101,-90.084877,2029,1212,-10028202.64,3494311.241,0.59733859
22071009100,29.932388,-90.087456,1766,1082,-10028489.73,3494861.909,0.612684032
22071009200,29.935877,-90.089615,1498,501,-10028730.07,3495310.09,0.334445928
22071009400,29.947172,-90.096367,1554,432,-10029481.7,3496761.102,0.277992278
22071009600,29.920259,-90.089813,1548,1284,-10028752.11,3493303.994,0.829457364
22071009700,29.919262,-90.097389,1326,844,-10029595.47,3493175.942,0.636500754
22071009900,29.924356,-90.095161,2673,1962,-10029347.45,3493830.214,0.734006734
22071010000,29.931276,-90.0942,1525,822,-10029240.47,3494719.069,0.539016393
22071010100,29.930435,-90.099442,1948,1279,-10029824,3494611.042,0.656570842
22071010200,29.937531,-90.099388,2125,914,-10029817.99,3495522.561,0.430117647
22071010300,29.944748,-90.100754,3676,1204,-10029970.06,3496449.689,0.327529924
22071010600,29.918482,-90.111969,1553,955,-10031218.5,3493075.762,0.614938828
22071010700,29.923296,-90.105324,1883,1192,-10030478.79,3493694.065,0.633032395
22071010800,29.923887,-90.111649,1418,879,-10031182.88,3493769.974,0.619887165
22071010900,29.930206,-90.107132,3142,1837,-10030680.05,3494581.627,0.584659453
22071011100,29.937031,-90.10701,1837,975,-10030666.47,3495458.331,0.530756668
22071011200,29.943434,-90.106209,1573,907,-10030577.3,3496280.882,0.576605213
22071011400,29.919327,-90.120079,1926,1232,-10032121.3,3493184.291,0.639667705
22071011500,29.92342,-90.124382,1289,974,-10032600.31,3493709.992,0.755624515
22071011600,29.924006,-90.11734,1491,981,-10031816.4,3493785.259,0.657947686
22071011700,29.931644,-90.117126,3082,1973,-10031792.58,3494766.34,0.640168722
22071011900,29.940092,-90.113548,1755,1254,-10031394.28,3495851.551,0.714529915
22071012000,29.926012,-90.130524,1387,859,-10033284.04,3494042.917,0.619322278
22071012101,29.946196,-90.117996,3185,1359,-10031889.43,3496635.714,0.426687598
22071012102,29.938997,-90.122215,4185,1605,-10032359.08,3495710.884,0.383512545
22071012200,29.948359,-90.112312,2339,1521,-10031256.69,3496913.6,0.650277897
22071012300,29.95067,-90.10556,2167,1066,-10030505.06,3497210.507,0.491924319
22071012400,29.954737,-90.110001,1749,925,-10030999.43,3497733.033,0.528873642
22071012500,29.933905,-90.135178,1801,1183,-10033802.12,3495056.774,0.656857301
22071012600,29.942879,-90.129143,1554,1203,-10033130.3,3496209.583,0.774131274
22071012700,29.948082,-90.124374,2439,1478,-10032599.42,3496878.013,0.60598606
22071012800,29.955276,-90.117607,2233,1470,-10031846.12,3497802.285,0.65830721
22071012900,29.946953,-90.135307,1441,898,-10033816.48,3496732.967,0.623178348
22071013000,29.952539,-90.128021,1549,939,-10033005.4,3497450.632,0.606197547
22071013100,29.95541,-90.132454,1421,659,-10033498.88,3497819.501,0.463757917
22071013200,29.95887,-90.124489,2956,1428,-10032612.22,3498264.06,0.48308525
22071013301,30.026005,-90.097778,3724,2406,-10029638.77,3506892.982,0.646079484
22071013302,30.031374,-90.060249,2141,1409,-10025461.06,3507583.316,0.65810369
22071013400,29.948849,-90.071388,2859,3745,-10026701.05,3496976.552,1.309898566
22071013500,29.955975,-90.064194,1831,1222,-10025900.21,3497892.095,0.667394866
22071013600,29.965576,-90.035721,1026,579,-10022730.61,3499125.726,0.564327485
22071013700,29.99398,-90.033051,2749,930,-10022433.39,3502776.052,0.338304838
22071013800,29.996105,-90.079575,2615,1088,-10027612.42,3503049.187,0.416061185
22071013900,29.940054,-90.076065,1579,707,-10027221.69,3495846.669,0.447751742
22071014000,29.94467,-90.083099,1893,641,-10028004.71,3496439.669,0.338615954
22071014100,29.92515,-90.070679,2337,990,-10026622.12,3493932.198,0.423620026
22071014200,29.917376,-90.087471,1647,1051,-10028491.4,3492933.714,0.638129933
22071014300,29.939842,-90.092499,1857,676,-10029051.11,3495819.435,0.364028002
22071014400,29.913809,-90.114716,1723,977,-10031524.3,3492475.598,0.567034243
22071014500,29.960629,-90.095009,2516,219,-10029330.52,3498490.072,0.087042925
22071980000,30.001497,-90.093094,10,0,-10029117.35,3503742.27,0
22071980100,30.004488,-89.915703,0,.,-10009370.27,3504126.747,.
22071990000,30.121422,-89.97287,0,.,-10015734.07,3519167.077,.
