TractID,Lat,Long,Total_2018Pop,SeriesInt,SeriesComp,parish,pfips,ldhh,FID,x,y
22011960500,30.850142,-93.3246,5106,1538,1371,Beauregard,22011,5,800,-10388846.95048594,3613302.4840652067
22011960600,30.602449,-93.576538,3366,524,460,Beauregard,22011,5,876,-10416892.560357414,3581226.492851177
22011960700,30.556482,-93.320473,8490,1444,1285,Beauregard,22011,5,879,-10388387.534947436,3575282.8545824788
22013970100,32.5532,-92.928154,3708,1009,852,Bienville,22013,7,882,-10344714.78363891,3836147.799696107
22013970200,32.50021,-93.031693,1451,281,242,Bienville,22013,7,885,-10356240.692396153,3829151.555024009
22013970300,32.326008,-93.335564,3017,660,615,Bienville,22013,7,888,-10390067.457382997,3806180.7311916184
22013970400,32.293301,-93.178375,2716,480,434,Bienville,22013,7,891,-10372569.257944692,3801872.817990182
22013970500,32.301395,-92.947464,2776,696,635,Bienville,22013,7,894,-10346864.363006126,3802938.752309606
22015010400,32.53463,-93.740829,1193,336,282,Bossier,22015,7,897,-10435181.350819333,3833695.541654485
22015010500,32.546356,-93.71817,4716,1328,1198,Bossier,22015,7,900,-10432658.962477447,3835243.957475214
22015010601,32.542442,-93.687843,7384,1618,1427,Bossier,22015,7,903,-10429282.97628016,3834727.092120162
22015010602,32.526039,-93.710678,3178,851,768,Bossier,22015,7,906,-10431824.956852425,3832561.230227507
22015010701,32.517002,-93.698898,4049,954,856,Bossier,22015,7,909,-10430513.61325088,3831368.1483033327
22015010702,32.509083,-93.692833,4432,961,856,Bossier,22015,7,912,-10429838.460539218,3830322.765480531
22015010801,32.502537,-93.70826,3233,858,769,Bossier,22015,7,952,-10431555.786323685,3829458.7011452694
22015010804,32.468243,-93.651833,8449,2485,2312,Bossier,22015,7,955,-10425274.361416694,3824932.9606917077
22015010805,32.475529,-93.683876,3444,1051,920,Bossier,22015,7,957,-10428841.371860182,3825894.341615165
22015010806,32.485058,-93.670708,4291,1389,1295,Bossier,22015,7,959,-10427375.516805418,3827151.801740696
22015010900,32.500385,-93.599709,4884,229,206,Bossier,22015,7,961,-10419471.944278587,3829174.6534030926
22015011001,32.447311,-93.539452,8913,2370,2222,Bossier,22015,7,963,-10412764.165721856,3822171.435404441
22015011002,32.350876,-93.507545,4093,1864,1739,Bossier,22015,7,966,-10409212.294729114,3809457.1933735684
22015011103,32.694477,-93.54528,7297,2435,2259,Bossier,22015,7,968,-10413412.935714198,3854820.757502029
22015011105,32.55368,-93.575813,6807,2193,2027,Bossier,22015,7,970,-10416811.85372659,3836211.19273617
22015011106,32.572327,-93.495392,8285,2097,1919,Bossier,22015,7,974,-10407859.428957503,3838674.1427681986
22015011107,32.692432,-93.743294,2443,513,476,Bossier,22015,7,975,-10435455.753364138,3854550.253938316
22015011108,32.642338,-93.700317,15776,5179,4838,Bossier,22015,7,976,-10430671.575608315,3847925.9743918683
22015011109,32.553757,-93.649559,7886,2958,2647,Bossier,22015,7,977,-10425021.22089463,3836221.362067904
22015011110,32.57856,-93.719032,8557,3004,2801,Bossier,22015,7,978,-10432754.91987851,3839497.529730342
22015011200,32.871693,-93.659897,5144,1677,1535,Bossier,22015,7,979,-10426172.04179045,3878285.71248089
22015011300,32.51757,-93.728241,1677,332,289,Bossier,22015,7,980,-10433780.061069226,3831443.1332100052
22017020500,32.53447,-93.761444,3074,752,687,Caddo,22017,7,981,-10437476.202122036,3833674.4150864906
22017020600,32.515465,-93.766846,720,,,Caddo,22017,7,982,-10438077.550011301,3831165.2425780883
22017020700,32.507187,-93.770531,753,,,Caddo,22017,7,983,-10438487.762334874,3830072.4892290924
22017021000,32.490707,-93.751007,1839,445,403,Caddo,22017,7,984,-10436314.360596627,3827897.3145222208
22017021100,32.496319,-93.737457,2500,687,601,Caddo,22017,7,985,-10434805.981496377,3828637.9906726466
