TractID,Lat,Long,Total_2018Pop,SeriesInt,SeriesComp,parish,pfips,ldhh,FID,x,y
22001960100,30.41013,-92.217194,5935,1869,1369,Acadia,22001,4,2,-10265571.078464525,3556377.92028979
22001960200,30.415924,-92.395874,5531,1840,1453,Acadia,22001,4,5,-10285461.645079466,3557125.817068996
22001960300,30.361271,-92.576561,3652,787,640,Acadia,22001,4,8,-10305575.629912429,3550072.903493317
22001960400,30.28404,-92.442123,7188,1603,1296,Acadia,22001,4,11,-10290610.060209163,3540113.0371059827
22001960500,30.318356,-92.234291,7285,1699,1324,Acadia,22001,4,14,-10267474.307798615,3544537.528771606
22001960600,30.242195,-92.230888,6141,1804,1420,Acadia,22001,4,17,-10267095.487571446,3534719.896418277
22001960700,30.243496,-92.287361,4497,1303,999,Acadia,22001,4,21,-10273382.033175016,3534887.539577209
22001960800,30.237949,-92.349106,5023,1672,1389,Acadia,22001,4,24,-10280255.455134045,3534172.7843769384
22001960900,30.21143,-92.405548,5102,1437,1197,Acadia,22001,4,28,-10286538.549833398,3530756.2524495823
22001961000,30.197304,-92.378609,5083,1389,1136,Acadia,22001,4,34,-10283539.714070918,3528936.728272574
22001961100,30.147688,-92.518761,3778,535,433,Acadia,22001,4,40,-10299141.363344576,3522547.919898764
22001961200,30.139709,-92.361496,3353,859,695,Acadia,22001,4,46,-10281634.703624975,3521520.803349
22003950100,30.687477,-92.908836,5002,454,388,Allen,22003,5,52,-10342564.313715763,3592228.2479032874
22003950200,30.853683,-92.634064,5184,538,434,Allen,22003,5,57,-10311976.834591515,3613761.638791146
22003950300,30.810982,-92.662476,2942,610,462,Allen,22003,5,63,-10315139.643963933,3608225.810963521
22003950400,30.650875,-92.695152,4209,607,497,Allen,22003,5,163,-10318777.119645094,3587491.1369604054
22003950500,30.517563,-92.826904,8324,1616,1377,Allen,22003,5,169,-10333443.685196089,3570252.7393659535
22005030101,30.317635,-90.884499,8621,2731,2209,Ascension,22005,2,174,-10117216.149681782,3544444.551583857
22005030102,30.262306,-90.887299,5209,1903,1566,Ascension,22005,2,180,-10117527.844256002,3537311.5907514985
22005030103,30.278994,-90.843185,6398,1877,1552,Ascension,22005,2,186,-10112617.096239148,3539462.56779046
22005030203,30.325884,-90.970657,11781,5346,4474,Ascension,22005,2,279,-10126807.214369548,3545508.349489153
22005030204,30.311428,-90.93766,12573,4896,4037,Ascension,22005,2,281,-10123134.005131843,3543644.1507471744
22005030205,30.272415,-90.964294,10708,4628,3889,Ascension,22005,2,290,-10126098.88844963,3538614.5328788403
22005030206,30.279579,-90.927803,11292,3717,3107,Ascension,22005,2,293,-10122036.728911093,3539537.9772038287
22005030300,30.189606,-90.964432,15351,6952,5845,Ascension,22005,2,297,-10126114.25053936,3527945.2837972795
22005030401,30.244034,-90.937309,4965,2115,1831,Ascension,22005,2,303,-10123094.931990573,3534956.8653753577
22005030402,30.222754,-90.931854,7900,3501,2867,Ascension,22005,2,309,-10122487.684168298,3532215.0487405574
22005030500,30.20039,-90.770638,8949,3050,2530,Ascension,22005,2,390,-10104541.20114057,3529334.203617763
22005030600,30.183094,-90.901169,6041,1798,1472,Ascension,22005,2,397,-10119071.845593305,3527106.6477025994
22005030900,30.132408,-91.051079,4646,1412,1105,Ascension,22005,2,402,-10135759.750458125,3520581.0367896534
22005031000,30.095423,-90.966995,6742,2460,2024,Ascension,22005,2,407,-10126399.562394263,3515821.4869172685
22007050100,30.036713,-91.069641,3717,1022,808,Assumption,22007,3,412,-10137826.062846228,3508269.8307841704
22007050200,29.929089,-91.181671,4715,1736,1405,Assumption,22007,3,417,-10150297.185399799,3494438.148282638
22007050300,29.973465,-91.033424,3502,1047,861,Assumption,22007,3,422,-10133794.40484817,3500139.472465556
22007050400,29.913683,-91.057411,3243,864,689,Assumption,22007,3,427,-10136464.625473827,3492459.416241781
22007050500,29.846695,-91.003471,3290,832,681,Assumption,22007,3,432,-10130460.052140439,3483859.096939374
22007050600,29.736324,-91.031876,4247,1121,874,Assumption,22007,3,529,-10133622.08227642,3469701.57993086
22009030100,31.136951,-91.867493,2469,614,501,Avoyelles,22009,6,534,-10226642.541214624,3650547.6388516305
22009030200,31.253704,-92.12925,3090,650,533,Avoyelles,22009,6,538,-10255781.197166199,3665741.4541492164
22009030300,31.144535,-92.148651,3428,1116,906,Avoyelles,22009,6,542,-10257940.90660708,3651534.0244711232
22009030400,31.132885,-92.079239,7355,2319,1905,Avoyelles,22009,6,546,-10250213.998112136,3650018.8416999076
22009030500,31.058247,-92.10569,6800,2013,1667,Avoyelles,22009,6,550,-10253158.50996311,3640315.9376823646
22009030600,30.929146,-92.187401,4893,1546,1262,Avoyelles,22009,6,554,-10262254.536875319,3623550.817348378
22009030700,30.97369,-92.051941,7519,2209,1817,Avoyelles,22009,6,629,-10247175.198652461,3629332.7602249356
22009030800,30.916538,-91.987556,2691,703,581,Avoyelles,22009,6,633,-10240007.893237736,3621914.750888859
22009030900,30.929199,-91.873062,2637,449,372,Avoyelles,22009,6,636,-10227262.479458852,3623557.6953038075
22011960100,30.723553,-93.114021,6150,1166,989,Beauregard,22011,5,639,-10365405.403434182,3596899.040488914
22011960200,30.806068,-93.327301,5507,1259,1078,Beauregard,22011,5,642,-10389147.624430573,3607588.9098586766
22011960300,30.863388,-93.272675,4612,1349,1123,Beauregard,22011,5,645,-10383066.685926499,3615020.154567729
22011960400,30.82436,-93.272903,3538,981,847,Beauregard,22011,5,648,-10383092.066770399,3609959.8920081686
22011960500,30.850142,-93.3246,5106,1725,1495,Beauregard,22011,5,651,-10388846.95048594,3613302.4840652067
22011960600,30.602449,-93.576538,3366,580,493,Beauregard,22011,5,654,-10416892.560357414,3581226.492851177
22011960700,30.556482,-93.320473,8490,1659,1380,Beauregard,22011,5,657,-10388387.534947436,3575282.8545824788
22013970100,32.5532,-92.928154,3708,1094,908,Bienville,22013,7,660,-10344714.78363891,3836147.799696107
22013970200,32.50021,-93.031693,1451,317,270,Bienville,22013,7,663,-10356240.692396153,3829151.555024009
22013970300,32.326008,-93.335564,3017,748,641,Bienville,22013,7,666,-10390067.457382997,3806180.7311916184
22013970400,32.293301,-93.178375,2716,541,461,Bienville,22013,7,669,-10372569.257944692,3801872.817990182
22013970500,32.301395,-92.947464,2776,774,664,Bienville,22013,7,672,-10346864.363006126,3802938.752309606
22015010400,32.53463,-93.740829,1193,405,325,Bossier,22015,7,675,-10435181.350819333,3833695.541654485
22015010500,32.546356,-93.71817,4716,1537,1290,Bossier,22015,7,676,-10432658.962477447,3835243.957475214
22015010601,32.542442,-93.687843,7384,1924,1556,Bossier,22015,7,677,-10429282.97628016,3834727.092120162
22015010602,32.526039,-93.710678,3178,978,822,Bossier,22015,7,678,-10431824.956852425,3832561.230227507
22015010701,32.517002,-93.698898,4049,1095,918,Bossier,22015,7,679,-10430513.61325088,3831368.1483033327
22015010702,32.509083,-93.692833,4432,1145,937,Bossier,22015,7,680,-10429838.460539218,3830322.765480531
22015010801,32.502537,-93.70826,3233,995,833,Bossier,22015,7,681,-10431555.786323685,3829458.7011452694
22015010804,32.468243,-93.651833,8449,2870,2444,Bossier,22015,7,682,-10425274.361416694,3824932.9606917077
22015010805,32.475529,-93.683876,3444,1152,972,Bossier,22015,7,683,-10428841.371860182,3825894.341615165
22015010806,32.485058,-93.670708,4291,1575,1361,Bossier,22015,7,684,-10427375.516805418,3827151.801740696
22015010900,32.500385,-93.599709,4884,267,221,Bossier,22015,7,685,-10419471.944278587,3829174.6534030926
22015011001,32.447311,-93.539452,8913,2716,2331,Bossier,22015,7,686,-10412764.165721856,3822171.435404441
22015011002,32.350876,-93.507545,4093,2120,1844,Bossier,22015,7,687,-10409212.294729114,3809457.1933735684
22015011103,32.694477,-93.54528,7297,2799,2381,Bossier,22015,7,688,-10413412.935714198,3854820.757502029
22015011105,32.55368,-93.575813,6807,2542,2157,Bossier,22015,7,689,-10416811.85372659,3836211.19273617
22015011106,32.572327,-93.495392,8285,2470,2064,Bossier,22015,7,690,-10407859.428957503,3838674.1427681986
22015011107,32.692432,-93.743294,2443,591,498,Bossier,22015,7,691,-10435455.753364138,3854550.253938316
22015011108,32.642338,-93.700317,15776,5981,5086,Bossier,22015,7,692,-10430671.575608315,3847925.9743918683
22015011109,32.553757,-93.649559,7886,3387,2852,Bossier,22015,7,693,-10425021.22089463,3836221.362067904
22015011110,32.57856,-93.719032,8557,3349,2931,Bossier,22015,7,694,-10432754.91987851,3839497.529730342
22015011200,32.871693,-93.659897,5144,1903,1626,Bossier,22015,7,695,-10426172.04179045,3878285.71248089
22015011300,32.51757,-93.728241,1677,411,324,Bossier,22015,7,696,-10433780.061069226,3831443.1332100052
22017020500,32.53447,-93.761444,3074,895,746,Caddo,22017,7,697,-10437476.202122036,3833674.4150864906
22017020600,32.515465,-93.766846,720,,,Caddo,22017,7,698,-10438077.550011301,3831165.2425780883
22017020700,32.507187,-93.770531,753,,,Caddo,22017,7,699,-10438487.762334874,3830072.4892290924
22017021000,32.490707,-93.751007,1839,493,422,Caddo,22017,7,700,-10436314.360596627,3827897.3145222208
22017021100,32.496319,-93.737457,2500,783,654,Caddo,22017,7,701,-10434805.981496377,3828637.9906726466
22017021200,32.487091,-93.7379,3293,1257,1086,Caddo,22017,7,702,-10434855.296030799,3827420.096488553
22017021300,32.495937,-93.720894,2370,746,632,Caddo,22017,7,703,-10432962.196770368,3828587.572548185
22017021400,32.487526,-93.710503,2398,745,635,Caddo,22017,7,704,-10431805.475941535,3827477.504169728
22017021500,32.475399,-93.72995,2311,894,767,Caddo,22017,7,705,-10433970.306078993,3825877.1875543497
